Summary,Description,Issue Type,Priority,Story Points,Labels,Epic Name,Sprint
"Auto-trace LangChain","As a Python developer, I can integrate with LangChain for automatic tracing.

Acceptance Criteria:
- DucsigrCallbackHandler for LangChain
- Traces LLM calls, chains, tools, agents
- Captures intermediate steps
- Works with LCEL (LangChain Expression Language)",Story,High,8,sdk;python;langchain;auto-instrumentation,[EPIC] Python SDK,Sprint 11
"Auto-trace LlamaIndex","As a Python developer, I can integrate with LlamaIndex for automatic tracing.

Acceptance Criteria:
- DucsigrSpanHandler for LlamaIndex
- Traces query engines, retrievers, synthesizers
- Captures retrieved documents
- Works with async operations",Story,Medium,5,sdk;python;llamaindex;auto-instrumentation,[EPIC] Python SDK,Sprint 11
"Python SDK documentation","As a Python developer, I can read SDK documentation.

Acceptance Criteria:
- README with quick start guide
- API reference (Sphinx/MkDocs)
- Code examples for common use cases
- Framework integration guides (LangChain, LlamaIndex)",Story,High,3,sdk;python;docs;developer-experience,[EPIC] Python SDK,Sprint 11
"User signup and login","As a user, I can sign up and log in.

Acceptance Criteria:
- Email/password signup form
- Email verification (optional for MVP)
- Login with email/password
- Password reset flow
- Session management",Story,Highest,5,users;auth;signup;login,[EPIC] User Management,Sprint 12
"Invite team members to project","As a project owner, I can invite team members.

Acceptance Criteria:
- Invite by email address
- Email invitation sent with link
- Invitee can accept and join project
- Pending invitations visible
- Can cancel pending invitation",Story,High,5,users;teams;invitations,[EPIC] User Management,Sprint 12
"Assign roles to team members","As an admin, I can assign roles.

Acceptance Criteria:
- Roles: Owner, Admin, Member, Viewer
- Owner: full access, can delete project
- Admin: manage members, settings
- Member: view and create traces
- Viewer: read-only access",Story,High,3,users;roles;permissions,[EPIC] User Management,Sprint 13
"Manage user profile settings","As a user, I can manage my profile.

Acceptance Criteria:
- Update display name
- Change password (requires current password)
- Profile picture upload (optional)
- Email preferences
- Delete account option",Story,Medium,2,users;profile;settings,[EPIC] User Management,Sprint 13
"Create error rate threshold alerts","As a user, I can create alerts for error rate thresholds.

Acceptance Criteria:
- Create alert with error rate threshold (e.g., >5%)
- Select time window (5min, 15min, 1hr)
- Choose projects to monitor
- Enable/disable alert
- Test alert button",Story,Highest,5,alerting;errors;monitoring,[EPIC] Alerting System,Sprint 14
"Create latency threshold alerts","As a user, I can create alerts for latency thresholds.

Acceptance Criteria:
- Create alert for P99 latency threshold
- Configurable percentile (P50, P95, P99)
- Time window selection
- Project/trace name filter
- Severity levels",Story,High,5,alerting;latency;performance,[EPIC] Alerting System,Sprint 14
"Receive alerts via email/webhook","As a user, I can receive alerts via email or webhook.

Acceptance Criteria:
- Email notifications with alert details
- Webhook POST with JSON payload
- Configure notification channels per alert
- Multiple channels per alert
- Webhook retry on failure",Story,High,5,alerting;notifications;email;webhook,[EPIC] Alerting System,Sprint 15
"View alert history","As a user, I can view alert history.

Acceptance Criteria:
- List of triggered alerts
- Timestamp, alert name, severity
- Triggered value vs. threshold
- Resolution status
- Filter by date range",Story,Medium,3,alerting;history;dashboard,[EPIC] Alerting System,Sprint 15
"View token usage per project","As a user, I can see token usage per project.

Acceptance Criteria:
- Dashboard showing input/output tokens
- Breakdown by model
- Daily/weekly/monthly views
- Comparison to previous period
- Export data option",Story,Highest,5,cost;tokens;analytics,[EPIC] Cost Tracking,Sprint 16
"View estimated costs by model","As a user, I can see estimated costs by model.

Acceptance Criteria:
- Cost calculated using model pricing table
- Configurable pricing overrides
- Cost by model breakdown
- Cost by project breakdown
- Currency selection",Story,High,5,cost;models;pricing,[EPIC] Cost Tracking,Sprint 16
"Set cost budgets with alerts","As a user, I can set cost budgets.

Acceptance Criteria:
- Set monthly budget per project
- Alert at threshold (50%, 80%, 100%)
- Email notification on threshold
- Budget reset on month start
- Budget history tracking",Story,High,5,cost;budgets;alerts,[EPIC] Cost Tracking,Sprint 17
"View cost trends over time","As a user, I can view cost trends.

Acceptance Criteria:
- Line chart showing daily costs
- Compare to previous periods
- Trend line projection
- Filter by project/model
- Anomaly highlighting",Story,Medium,3,cost;trends;charts,[EPIC] Cost Tracking,Sprint 17
"Upgrade to Redis Streams","Migrate from Redis LPUSH/BRPOP to Redis Streams for higher throughput.

Technical Requirements:
- Implement Redis Streams producer in Go
- Update worker to use XREADGROUP
- Consumer group management
- Message acknowledgment",Task,Medium,5,infrastructure;redis;queue,[EPIC] Infrastructure Scale,Backlog
"Add Redpanda to infrastructure","Set up Redpanda (Kafka-compatible) for production scale.

Technical Requirements:
- Docker Compose configuration
- Topic creation and configuration
- Partition strategy (by project_id)
- Retention policy configuration",Task,Low,3,infrastructure;redpanda;kafka,[EPIC] Infrastructure Scale,Backlog
"Implement Kafka producer in ingest","Add Kafka/Redpanda producer to Go ingest service.

Technical Requirements:
- Implement Producer interface for Kafka
- Configuration-based driver selection
- Batch publishing for efficiency
- Graceful shutdown",Task,Low,5,infrastructure;kafka;go;ingest,[EPIC] Infrastructure Scale,Backlog
"Add ClickHouse for analytics","Set up ClickHouse for high-performance analytics queries.

Technical Requirements:
- Docker Compose configuration
- Schema design for traces/spans
- Dual-write from worker
- Migration of analytics queries",Task,Low,8,infrastructure;clickhouse;analytics,[EPIC] Infrastructure Scale,Backlog
